Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ATVI,"Activision Blizzard",96.75,-1.97,-2.00%,98.99,96.59,3984500,03/02/21
AVB,"Avalonbay Communities",178.22,1.2,+0.68%,179.3,175.82,910500,03/02/21
AVGO,"Broadcom Ltd",480.51,-9.07,-1.85%,490.86,479.6,1853900,03/02/21
AVY,"Avery Dennison Corp",177.01,-1.46,-0.82%,178.85,174.74,540500,03/02/21
AWK,"American Water Works",139.64,-4.37,-3.03%,144.45,139.29,1512900,03/02/21
AXP,"American Express Company",139.25,0.54,+0.39%,140.19,138.08,2929000,03/02/21
AZO,Autozone,1180,10.61,+0.91%,1200,1146.95,380000,03/02/21
BA,"Boeing Company",223.14,-1.25,-0.56%,227.19,222.15,11105600,03/02/21
BAC,"Bank of America Corp",35.53,-0.26,-0.73%,35.94,35.5,41157801,03/02/21
BAX,"Baxter International Inc",77.68,-0.26,-0.33%,78.99,77.63,3433400,03/02/21
BBY,"Best Buy Company",102.52,0.83,+0.82%,103.75,101.46,3011600,03/02/21
BDX,"Becton Dickinson and Company",244.73,-1.33,-0.54%,247.12,243.37,829700,03/02/21
BEN,"Franklin Resources",26.96,-0.24,-0.88%,27.3,26.88,2976300,03/02/21
BF.B,"Brown Forman Inc Cl B",72.08,-0.78,-1.07%,73.69,71.72,924900,03/02/21
BIIB,"Biogen Inc",269.85,-3.39,-1.24%,275.64,269.5,1258200,03/02/21
BIO,"Bio-Rad Laboratories",591.22,-6.08,-1.02%,600.21,586.68,145400,03/02/21
BK,"Bank of New York Mellon Corp",43.6,-0.08,-0.18%,44.32,43.58,4494500,03/02/21
BKNG,"Booking Holdings Inc",2282.21,-38.29,-1.65%,2342,2275,310000,03/02/21
BKR,"Baker Hughes A Ge CO Cl A",24.37,-0.61,-2.44%,25.4,24.26,10530200,03/02/21
BLK,"Blackrock Inc",716.31,-2.89,-0.40%,723.6,713.61,455200,03/02/21
BLL,"Ball Corp",86.35,-0.15,-0.17%,87.05,86.2,1630700,03/02/21
BMY,"Bristol-Myers Squibb Company",61.27,-0.36,-0.58%,62.18,61.21,9584601,03/02/21
BR,"Broadridge Financial Solutions Llc",143.84,-2.64,-1.80%,146.51,142.93,519400,03/02/21
BRK.B,"Berkshire Hathaway Cl B",249.22,0.01,0.00%,251.34,248.37,4686000,03/02/21
